File Path,Filename,Artist,Title,Album,Year,YouTube Results,Best Match Score,Match Quality,Analysis
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Limp - Three Words.mp3,Limp - Three Words.mp3,Limp,Three Words,,,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1959 - 073 - The Flamingos - I Only Have Eyes For You.mp3,Billboard Top 100 Hits Of 1959 - 073 - The Flamingos - I Only Have Eyes For You.mp3,Billboard Top 100 Hits Of 1959,073 - The Flamingos - I Only Have Eyes For You,,,1,50,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1989 - 081 - Cher & Peter Cetera - After All.mp3,Billboard Top 100 Hits Of 1989 - 081 - Cher & Peter Cetera - After All.mp3,Billboard Top 100 Hits Of 1989,081 - Cher & Peter Cetera - After All,,,5,53,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1956 - 026 - Patience & Prudence - Tonight You Belong To Me.mp3,Billboard Top 100 Hits Of 1956 - 026 - Patience & Prudence - Tonight You Belong To Me.mp3,Billboard Top 100 Hits Of 1956,026 - Patience & Prudence - Tonight You Belong To Me,,,3,51,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Home Grown - Last Nite Regrets.mp3,Home Grown - Last Nite Regrets.mp3,Home Grown,Last Nite Regrets,,,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1981 - 041 - Marty Balin - Hearts.mp3,Billboard Top 100 Hits Of 1981 - 041 - Marty Balin - Hearts.mp3,Billboard Top 100 Hits Of 1981,041 - Marty Balin - Hearts,,,5,81,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1962 - 063 - Ricky Nelson - Young World.mp3,Billboard Top 100 Hits Of 1962 - 063 - Ricky Nelson - Young World.mp3,Billboard Top 100 Hits Of 1962,063 - Ricky Nelson - Young World,,,5,70,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1963 - 028 - Ruby & The Romantics - Our Day Will Come.mp3,Billboard Top 100 Hits Of 1963 - 028 - Ruby & The Romantics - Our Day Will Come.mp3,Billboard Top 100 Hits Of 1963,028 - Ruby & The Romantics - Our Day Will Come,,,5,66,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/GNR & Lenny Kravitz - Always On The Run (Live).mp3,GNR & Lenny Kravitz - Always On The Run (Live).mp3,GNR & Lenny Kravitz,Always On The Run (Live),,,5,89,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1956 - 006 - Elvis Presley - Hound Dog.mp3,Billboard Top 100 Hits Of 1956 - 006 - Elvis Presley - Hound Dog.mp3,Billboard Top 100 Hits Of 1956,006 - Elvis Presley - Hound Dog,,,5,52,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1984 - 055 - Kenny Rogers & Dolly Parton - Islands In The Stream.mp3,Billboard Top 100 Hits Of 1984 - 055 - Kenny Rogers & Dolly Parton - Islands In The Stream.mp3,Billboard Top 100 Hits Of 1984,055 - Kenny Rogers & Dolly Parton - Islands In The Stream,,,5,50,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1963 - 004 - Bobby Vinton - Blue Velvet.mp3,Billboard Top 100 Hits Of 1963 - 004 - Bobby Vinton - Blue Velvet.mp3,Billboard Top 100 Hits Of 1963,004 - Bobby Vinton - Blue Velvet,,,5,83,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Tori Amos - American Pie & Smells Like Teen Spirit.mp3,Tori Amos - American Pie & Smells Like Teen Spirit.mp3,Tori Amos,American Pie & Smells Like Teen Spirit,,,5,98,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1981 - 043 - Hall & Oates - You Make My Dreams Come True.mp3,Billboard Top 100 Hits Of 1981 - 043 - Hall & Oates - You Make My Dreams Come True.mp3,Billboard Top 100 Hits Of 1981,043 - Hall & Oates - You Make My Dreams Come True,,,5,88,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1988 - 094 - Cher - I Found Someone.mp3,Billboard Top 100 Hits Of 1988 - 094 - Cher - I Found Someone.mp3,Billboard Top 100 Hits Of 1988,094 - Cher - I Found Someone,,,5,50,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1971 - 054 - Tommy James - Draggin' The Line.mp3,Billboard Top 100 Hits Of 1971 - 054 - Tommy James - Draggin' The Line.mp3,Billboard Top 100 Hits Of 1971,054 - Tommy James - Draggin' The Line,,,5,65,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1977 - 004 - Barbra Streisand - Theme From A Star Is Born.mp3,Billboard Top 100 Hits Of 1977 - 004 - Barbra Streisand - Theme From A Star Is Born.mp3,Billboard Top 100 Hits Of 1977,004 - Barbra Streisand - Theme From A Star Is Born,,,5,51,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 2000 - 055 - Britney Spears - Oops! I Did It Again.mp3,Billboard Top 100 Hits Of 2000 - 055 - Britney Spears - Oops! I Did It Again.mp3,Billboard Top 100 Hits Of 2000,055 - Britney Spears - Oops! I Did It Again,,,5,88,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1986 - 004 - Patti Labelle - Michael McDonald - On My Own.mp3,Billboard Top 100 Hits Of 1986 - 004 - Patti Labelle - Michael McDonald - On My Own.mp3,Billboard Top 100 Hits Of 1986,004 - Patti Labelle - Michael McDonald - On My Own,,,5,67,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Dead Man's Partyparty.mp3,Dead Man's Partyparty.mp3,Unknown Artist,Dead Man's Partyparty,,,5,63,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1981 - 092 - Sheena Easton - For Your Eyes Only.mp3,Billboard Top 100 Hits Of 1981 - 092 - Sheena Easton - For Your Eyes Only.mp3,Billboard Top 100 Hits Of 1981,092 - Sheena Easton - For Your Eyes Only,,,5,85,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 2004 - 044 - Akon Ft Styles P - Locked Up.mp3,Billboard Top 100 Hits Of 2004 - 044 - Akon Ft Styles P - Locked Up.mp3,Billboard Top 100 Hits Of 2004,044 - Akon Ft Styles P - Locked Up,,,5,51,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/12 Alive and Electrified.mp3,12 Alive and Electrified.mp3,Unknown Artist,Alive and Electrified,,,5,65,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1988 - 083 - Paul Carrack - Don't Shed A Tear.mp3,Billboard Top 100 Hits Of 1988 - 083 - Paul Carrack - Don't Shed A Tear.mp3,Billboard Top 100 Hits Of 1988,083 - Paul Carrack - Don't Shed A Tear,,,5,62,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 2008 - 009 - Chris Brown - With You.mp3,Billboard Top 100 Hits Of 2008 - 009 - Chris Brown - With You.mp3,Billboard Top 100 Hits Of 2008,009 - Chris Brown - With You,,,5,63,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1978 - 014 - Samantha Sang & The Bee Gees - Emotion.mp3,Billboard Top 100 Hits Of 1978 - 014 - Samantha Sang & The Bee Gees - Emotion.mp3,Billboard Top 100 Hits Of 1978,014 - Samantha Sang & The Bee Gees - Emotion,,,5,66,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1974 - 008 - Ray Stevens - The Streak.mp3,Billboard Top 100 Hits Of 1974 - 008 - Ray Stevens - The Streak.mp3,Billboard Top 100 Hits Of 1974,008 - Ray Stevens - The Streak,,,5,64,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Rancid - Nihilism.mp3,Rancid - Nihilism.mp3,Rancid,Nihilism,,,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1971 - 048 - Stevie Wonder - If You Really Love Me.mp3,Billboard Top 100 Hits Of 1971 - 048 - Stevie Wonder - If You Really Love Me.mp3,Billboard Top 100 Hits Of 1971,048 - Stevie Wonder - If You Really Love Me,,,5,56,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Al B. Sure - Killing Me Softly.mp3,Al B. Sure - Killing Me Softly.mp3,Al B. Sure,Killing Me Softly,,,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Mega Man 3 - Spark Man.mp3,Mega Man 3 - Spark Man.mp3,Mega Man 3,Spark Man,,,5,96,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Primus - Have a Cigar (Pink Floyd cover).mp3,Primus - Have a Cigar (Pink Floyd cover).mp3,Primus,Have a Cigar (Pink Floyd cover),,,5,100,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1997 - 047 - Bone Thugs N Harmony - Look Into My Eyes.mp3,Billboard Top 100 Hits Of 1997 - 047 - Bone Thugs N Harmony - Look Into My Eyes.mp3,Billboard Top 100 Hits Of 1997,047 - Bone Thugs N Harmony - Look Into My Eyes,,,5,54,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1988 - 003 - George Harrison - Got My Mind Set On You.mp3,Billboard Top 100 Hits Of 1988 - 003 - George Harrison - Got My Mind Set On You.mp3,Billboard Top 100 Hits Of 1988,003 - George Harrison - Got My Mind Set On You,,,5,69,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Mystic Knights of the Oingo Boingo - 02 - Hipsters On Parade.mp3,Mystic Knights of the Oingo Boingo - 02 - Hipsters On Parade.mp3,Mystic Knights of the Oingo Boingo,02 - Hipsters On Parade,,,4,65,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1979 - 005 - Peaches & Herb - Reunited.mp3,Billboard Top 100 Hits Of 1979 - 005 - Peaches & Herb - Reunited.mp3,Billboard Top 100 Hits Of 1979,005 - Peaches & Herb - Reunited,,,5,65,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1964 - 088 - Dean Martin - The Door Is Still Open To My Heart.mp3,Billboard Top 100 Hits Of 1964 - 088 - Dean Martin - The Door Is Still Open To My Heart.mp3,Billboard Top 100 Hits Of 1964,088 - Dean Martin - The Door Is Still Open To My Heart,,,5,74,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1986 - 010 - Robert Palmer - Addicted To Love.mp3,Billboard Top 100 Hits Of 1986 - 010 - Robert Palmer - Addicted To Love.mp3,Billboard Top 100 Hits Of 1986,010 - Robert Palmer - Addicted To Love,,,5,69,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 2010 - 067 - Miley Cyrus - Party In The USA.mp3,Billboard Top 100 Hits Of 2010 - 067 - Miley Cyrus - Party In The USA.mp3,Billboard Top 100 Hits Of 2010,067 - Miley Cyrus - Party In The USA,,,5,51,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1991 - 093 - Chris Isaak - Wicked Game.mp3,Billboard Top 100 Hits Of 1991 - 093 - Chris Isaak - Wicked Game.mp3,Billboard Top 100 Hits Of 1991,093 - Chris Isaak - Wicked Game,,,5,61,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1991 - 049 - Lenny Kravitz - It Ain't Over 'Til It's Over.mp3,Billboard Top 100 Hits Of 1991 - 049 - Lenny Kravitz - It Ain't Over 'Til It's Over.mp3,Billboard Top 100 Hits Of 1991,049 - Lenny Kravitz - It Ain't Over 'Til It's Over,,,5,68,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1960 - 023 - Bobby Rydell - Wild One.mp3,Billboard Top 100 Hits Of 1960 - 023 - Bobby Rydell - Wild One.mp3,Billboard Top 100 Hits Of 1960,023 - Bobby Rydell - Wild One,,,5,63,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1985 - 093 - Tina Turner - Private Dancer.mp3,Billboard Top 100 Hits Of 1985 - 093 - Tina Turner - Private Dancer.mp3,Billboard Top 100 Hits Of 1985,093 - Tina Turner - Private Dancer,,,5,50,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1960 - 050 - Bobby Bland - Let The Little Girl Dance.mp3,Billboard Top 100 Hits Of 1960 - 050 - Bobby Bland - Let The Little Girl Dance.mp3,Billboard Top 100 Hits Of 1960,050 - Bobby Bland - Let The Little Girl Dance,,,5,84,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 2010 - 069 - Britney Spears - 3.mp3,Billboard Top 100 Hits Of 2010 - 069 - Britney Spears - 3.mp3,Billboard Top 100 Hits Of 2010,069 - Britney Spears - 3,,,5,73,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1977 - 098 - Leo Sayer - How Much Love.mp3,Billboard Top 100 Hits Of 1977 - 098 - Leo Sayer - How Much Love.mp3,Billboard Top 100 Hits Of 1977,098 - Leo Sayer - How Much Love,,,5,50,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/03 The unexpected visitor.mp3,03 The unexpected visitor.mp3,Unknown Artist,03 The unexpected visitor,,,5,65,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Cars - You Might Think.mp3,Cars - You Might Think.mp3,Cars,You Might Think,,,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1961 - 002 - Ferrante And Teicher - Exodus.mp3,Billboard Top 100 Hits Of 1961 - 002 - Ferrante And Teicher - Exodus.mp3,Billboard Top 100 Hits Of 1961,002 - Ferrante And Teicher - Exodus,,,5,64,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 2000 - 014 - Sisqo - Thong Song.mp3,Billboard Top 100 Hits Of 2000 - 014 - Sisqo - Thong Song.mp3,Billboard Top 100 Hits Of 2000,014 - Sisqo - Thong Song,,,5,50,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1984 - 007 - Lionel Richie - Hello.mp3,Billboard Top 100 Hits Of 1984 - 007 - Lionel Richie - Hello.mp3,Billboard Top 100 Hits Of 1984,007 - Lionel Richie - Hello,,,5,61,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 2009 - 057 - Jordin Sparks - Battlefield.mp3,Billboard Top 100 Hits Of 2009 - 057 - Jordin Sparks - Battlefield.mp3,Billboard Top 100 Hits Of 2009,057 - Jordin Sparks - Battlefield,,,5,65,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1986 - 018 - Heart - Never.mp3,Billboard Top 100 Hits Of 1986 - 018 - Heart - Never.mp3,Billboard Top 100 Hits Of 1986,018 - Heart - Never,,,5,61,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1963 - 092 - Chiffons - One Fine Day.mp3,Billboard Top 100 Hits Of 1963 - 092 - Chiffons - One Fine Day.mp3,Billboard Top 100 Hits Of 1963,092 - Chiffons - One Fine Day,,,5,84,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1993 - 054 - Duran Duran - Come Undone.mp3,Billboard Top 100 Hits Of 1993 - 054 - Duran Duran - Come Undone.mp3,Billboard Top 100 Hits Of 1993,054 - Duran Duran - Come Undone,,,5,60,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1971 - 014 - Undisputed Truth - Smiling Faces Sometimes.mp3,Billboard Top 100 Hits Of 1971 - 014 - Undisputed Truth - Smiling Faces Sometimes.mp3,Billboard Top 100 Hits Of 1971,014 - Undisputed Truth - Smiling Faces Sometimes,,,5,51,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1969 - 077 - Tony Joe White - Polk Salad Annie.mp3,Billboard Top 100 Hits Of 1969 - 077 - Tony Joe White - Polk Salad Annie.mp3,Billboard Top 100 Hits Of 1969,077 - Tony Joe White - Polk Salad Annie,,,1,50,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1965 - 038 - Seekers - I'll Never Find Another You.mp3,Billboard Top 100 Hits Of 1965 - 038 - Seekers - I'll Never Find Another You.mp3,Billboard Top 100 Hits Of 1965,038 - Seekers - I'll Never Find Another You,,,5,68,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1999 - 004 - Whitney Houston & Faith Evans - Heartbreak Hotel.mp3,Billboard Top 100 Hits Of 1999 - 004 - Whitney Houston & Faith Evans - Heartbreak Hotel.mp3,Billboard Top 100 Hits Of 1999,004 - Whitney Houston & Faith Evans - Heartbreak Hotel,,,5,56,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1964 - 026 - Beatles - Love Me Do.mp3,Billboard Top 100 Hits Of 1964 - 026 - Beatles - Love Me Do.mp3,Billboard Top 100 Hits Of 1964,026 - Beatles - Love Me Do,,,5,65,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 2011 - 017 - Pink - Raise Your Glass.mp3,Billboard Top 100 Hits Of 2011 - 017 - Pink - Raise Your Glass.mp3,Billboard Top 100 Hits Of 2011,017 - Pink - Raise Your Glass,,,5,64,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 2009 - 002 - Lady Gaga - Poker Face.mp3,Billboard Top 100 Hits Of 2009 - 002 - Lady Gaga - Poker Face.mp3,Billboard Top 100 Hits Of 2009,002 - Lady Gaga - Poker Face,,,5,80,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1994 - 038 - Jodeci - Cry For You.mp3,Billboard Top 100 Hits Of 1994 - 038 - Jodeci - Cry For You.mp3,Billboard Top 100 Hits Of 1994,038 - Jodeci - Cry For You,,,5,55,Possible match,⚠️  Available but might be different version
"/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Paul McCartney - Maybe I'm Amazed (Live,1976).mp3","Paul McCartney - Maybe I'm Amazed (Live,1976).mp3",Paul McCartney,"Maybe I'm Amazed (Live,1976)",,,5,89,Very good match,✅ Readily available
"/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 2012 - 027 - Kanye West, Big Sean, Pusha T, 2 Chainz - Mercy.mp3","Billboard Top 100 Hits Of 2012 - 027 - Kanye West, Big Sean, Pusha T, 2 Chainz - Mercy.mp3",Billboard Top 100 Hits Of 2012,"027 - Kanye West, Big Sean, Pusha T, 2 Chainz - Mercy",,,5,56,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1999 - 013 - Goo Goo Dolls - Slide.mp3,Billboard Top 100 Hits Of 1999 - 013 - Goo Goo Dolls - Slide.mp3,Billboard Top 100 Hits Of 1999,013 - Goo Goo Dolls - Slide,,,5,53,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1972 - 050 - Argent - Hold Your Head Up.mp3,Billboard Top 100 Hits Of 1972 - 050 - Argent - Hold Your Head Up.mp3,Billboard Top 100 Hits Of 1972,050 - Argent - Hold Your Head Up,,,5,67,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/War - Why Can't We Be Friends.mp3,War - Why Can't We Be Friends.mp3,War,Why Can't We Be Friends,,,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1980 - 031 - Kenny Rogers & Kim Carnes - Don't Fall In Love With A Dreamer.mp3,Billboard Top 100 Hits Of 1980 - 031 - Kenny Rogers & Kim Carnes - Don't Fall In Love With A Dreamer.mp3,Billboard Top 100 Hits Of 1980,031 - Kenny Rogers & Kim Carnes - Don't Fall In Love With A Dreamer,,,5,71,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1992 - 035 - Joe Public - Live And Learn.mp3,Billboard Top 100 Hits Of 1992 - 035 - Joe Public - Live And Learn.mp3,Billboard Top 100 Hits Of 1992,035 - Joe Public - Live And Learn,,,5,84,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Alice In Chains-11-Frogs (Unplugged).mp3,Alice In Chains-11-Frogs (Unplugged).mp3,Unknown Artist,Alice In Chains-11-Frogs (Unplugged),,,5,66,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/The Go Team - Grip Like a Vice (Foun.mp3,The Go Team - Grip Like a Vice (Foun.mp3,The Go Team,Grip Like a Vice (Foun,,,5,88,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 2006 - 039 - Kelly Clarkson - Because Of You.mp3,Billboard Top 100 Hits Of 2006 - 039 - Kelly Clarkson - Because Of You.mp3,Billboard Top 100 Hits Of 2006,039 - Kelly Clarkson - Because Of You,,,5,52,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1976 - 100 - Glen Campbell - Country Boy [You Got Your Feet In L.A].mp3,Billboard Top 100 Hits Of 1976 - 100 - Glen Campbell - Country Boy [You Got Your Feet In L.A].mp3,Billboard Top 100 Hits Of 1976,100 - Glen Campbell - Country Boy [You Got Your Feet In L.A],,,5,71,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/05 Cash Machine.mp3,05 Cash Machine.mp3,Unknown Artist,Cash Machine,,,5,80,Good match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1994 - 047 - R. Kelly - Your Body's Calling.mp3,Billboard Top 100 Hits Of 1994 - 047 - R. Kelly - Your Body's Calling.mp3,Billboard Top 100 Hits Of 1994,047 - R. Kelly - Your Body's Calling,,,5,60,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1968 - 056 - Blue Cheer - Summertime Blues.mp3,Billboard Top 100 Hits Of 1968 - 056 - Blue Cheer - Summertime Blues.mp3,Billboard Top 100 Hits Of 1968,056 - Blue Cheer - Summertime Blues,,,4,84,Good match,⚠️  Available but might be different version
"/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Home Grown - Wow, She Dumb.mp3","Home Grown - Wow, She Dumb.mp3",Home Grown,"Wow, She Dumb",,,5,95,Excellent match,✅ Readily available
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1966 - 013 - The Mamas & The Papas - California Dreamin'.mp3,Billboard Top 100 Hits Of 1966 - 013 - The Mamas & The Papas - California Dreamin'.mp3,Billboard Top 100 Hits Of 1966,013 - The Mamas & The Papas - California Dreamin',,,5,54,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/manson.mp3,manson.mp3,Unknown Artist,manson,,,5,88,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1984 - 003 - Paul McCartney & Michael Jackson - Say Say Say.mp3,Billboard Top 100 Hits Of 1984 - 003 - Paul McCartney & Michael Jackson - Say Say Say.mp3,Billboard Top 100 Hits Of 1984,003 - Paul McCartney & Michael Jackson - Say Say Say,,,5,88,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Home Grown - Kids.mp3,Home Grown - Kids.mp3,Home Grown,Kids,,,5,96,Very good match,✅ Readily available
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1965 - 086 - Joe Tex - You Had Better Hold On To What.mp3,Billboard Top 100 Hits Of 1965 - 086 - Joe Tex - You Had Better Hold On To What.mp3,Billboard Top 100 Hits Of 1965,086 - Joe Tex - You Had Better Hold On To What,,,5,51,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 2012 - 001 - Gotye Ft Kimbra - Somebody That I Used To Know.mp3,Billboard Top 100 Hits Of 2012 - 001 - Gotye Ft Kimbra - Somebody That I Used To Know.mp3,Billboard Top 100 Hits Of 2012,001 - Gotye Ft Kimbra - Somebody That I Used To Know,,,5,67,Possible match,⚠️  Available but might be different version
/Volumes/jellyfin-media/music/Unknown Artist/Unknown Album/Billboard Top 100 Hits Of 1971 - 050 - Helen Reddy - I Don't Know How To Love Him.mp3,Billboard Top 100 Hits Of 1971 - 050 - Helen Reddy - I Don't Know How To Love Him.mp3,Billboard Top 100 Hits Of 1971,050 - Helen Reddy - I Don't Know How To Love Him,,,5,69,Possible match,⚠️  Available but might be different version
